IMAGE #,SPEAKER 1l,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
3560,A certain man is standing in the middle of the building near the sea.,"The man is standing and above him the hanging bell, while a woman is seated down by the side.",There is a calm wide sea before them.,"The sea is as big as one of the lakes called muddy lake in Africa, its waters seem to touch the skies.","As you can see the blue sky so is the appearance of the water, and the woman sitting is in white with long hair.  "
3561,A craftsman is sculpting a brownish statue.,"In his hands a hammer and chisel as carving tools, he is old with a bald head.",He is wearing cream white inside with a black coat outside.,Round about this man are statues of cream white and another brownish in front.,"As a craftsman, it is not surprising that he would have sculptured all the statues."
3562,A white young lady is being captured while looking at the camera.,She is seated in the sun with a drink in her hands.,"A beautiful flower bed is behind her, with different and bright flowers.","She has a bangle bracelet on her right hand, with a colorful bag.","Her long hair dangling downwards, she is wearing a white shirt inside the light sweater."
3563,A black craftsman is carving a small statue with a hammer and nail.,The man is in black sunglasses with long black rastafari hair. ,These sunglasses are protecting his eyes from carving particles.,"If anything happened his eyes would be hurt, so the glasses are better worn.",And at the back of the yard trees are scattered around.
3564,A white young girl is at the pitch playing baseball sports in a red t-shirt.,And a man in the shelter is watching how she's saved the ball. ,"With a red t-shirt, and black trouser she is also wearing white socks.",Meanwhile her friends are on the bench in the same shelter as the man.,"Not only is she wearing the baseball outfit, besides she also having a helmet on."
3565,A white lady in a short pant is playing mountain climbing.,"With long brown hair she is climbing the mountains, while looking upwards.",This mountain climber is in a green t-shirt with sports snickers.,And a purple short pant while the snickers are dark with a colorful ribbon.,"This lady is experienced and fearless, as she appears unacrophobic. "
3566,An old white man is cutting a plank with a hacksaw.  ,"His expression is firm in the process, he is at the back of his house tent.",He has got his spectacles on.,"His tent house is decorated with star ligts, but the camera light is brighter.  ",And the edges of the house tent have a blue color.
3567,Two Asian looking individuals are leaning on the table to pick up pieces of paper.,"The lady and gentleman  are in a school like set up, and as if they are University student.",The gentleman has his spectacles on in a black shirt.,"Same as the gentleman, the lady is having her spectacles on with a silver shiny wrist watch.",The two individuals are in a white colored room.
3568,A white lady in a white trouser is riding on a white and black horse.,"The horse is jumping across the racing logs, she has her helmet and gum boots tightly on.",The horse is jumping across two logs of different colors: white and green.,They are also differently positioned: the white log is below while the green one is higher.,"By the playgrounds the skies are dark with clouds of rains, it was as if the rains were to fall anytime."
3569,"A tennis player, in a white attire, is playing the game at the pitch.","This player is bouncing the ball on the left side while the referee, in black, is on the right.",It appears this player is jumping while playing tennis.,"Apparently the sun is right on his head, hence the midday shadows or 12 o'clock.",Another person is training or warming up by the bench.
3570,A light skinned man is walking down the street with his black back pack.,"This man is Asian looking in complexion, and behind him is a poster with red letters.",He is wearing a blue trouser and has got short hair.,"On his left side a red metallic poster with a big, but alphabetically small, letter i.",On the same side there is a black pole of traffic lights on red.
3571,"A white lady is leaning backwards on the sofa, with her legs stretching out to the stool.","She has her spectacles on, and on her legs she is put a personal computer.","Near the sofa she is sitting in there is a green plant, it appears this is a real plant and not a decor.","The walls of the house are also planks furnished with a brown color, then are feet are in slippers.","This whole house is kind of plankmade, and the feet of her slippers are dark."
3572,"A group of people, each with a bicycle, is gathered in one place for a briefing.","This is a group of cyclists, their gathering is obvious but none knows.","Sure thing, they all are having helmets for injury prevention.","Whatever could be happening here, it is either announcements or roll call.",One among them is an old man with short hair in a red shirt.
3573,A team of black gentlemen in green t-shirts are sort of dancing.,"One of them, on the right, is half cast and in the middle someone has his legs twisted in his friends'.","There is one in a red t-shirt inside the green, and he is wearing a cap.","While two of his friends are dressed alike, one is in a bandana and another in a black NY cap.",The team is big enough that others are behind the gentlemen in front.
3574,"A dog is running with front legs upwards, excited for something ahead.","Much excited, this dog waggles its tail and has black eyes.",It then has a black coating around the head and the back.,It is standing by the beach with riversand all over the place. ,"Indeed, even the trees behind the dog are those that grow along the riverside."
3575,A little boy in a red t-shirt is lifting up his hands.,He is standing on top of big rocks with a big smile.,This little boy is in a black cap and a blue short pant.,"Just lifting up his hands while on the rocks, in the world of children, means more than flying.",In the background of the boy is a visible rocky mountain.
3576,A mole like animal is jumping in the snow ice.,"Hahaha, this wild animal is too big for a mole though.","One would even wonder whether or not it is jumping, its gesture is unpredictable. ","This is a chipmunk jumping across the snow ice, it is as if touching the skies but not even close.","This picture is rather puzzling to the mind, as it keeps one thinking of how best to describe the scenes."
3577,A man like person is walking down the street with dogs ahead.,"This must be a woman holding ropes of the dogs in front, going to the veterinary clinic. ",There are blue paintings on the street walls by the sidewalk.,"These paintings are of men and women by the bridge, and one holding up a poster with human rights.","A closer look at the paintings, one would see a red coating around."
3578,A white man in black top and bottom is standing by flower beds with a stick.,"This man is supposedly the flower gardener, as he is even in a worksuit.",He is wearing a green shirt inside the worksuit top.,"Then he has a head sock, worksuit, and shoes on.","At the same place, the background of the man is a view of a house like building with trees around."
3579,A darkly looking man is standing in the passage having his phone on the ears.,"Him and his friend, seated by the door, both have kufi caps and cellphones.",The two men are standing between some old Islamic buildings. ,The building beside the man standing are not just long but also appear ancient.,"And they have a redish or rusty appearance, electric cables also are up on power poles. "
3580,An old man is stooping to fix a metalic object in his hands.,This Asian Indian looking man is rather cleaning his molten iron.,He is in white robes and has a bangle bracelet on the hand.,Then down on his newspaper is a variety of metalic objects.,"As an expert in his business arena, this old folk is taking his time with what he is doing."
3581,Three young ladies are standing by the entrance of a little building near the road.,"These young ladies are seemingly waiting for their photos after a photoshoot session, as the building depicts a photo center.","Exactly, the writings AUTOMAT on the same building is proof enough.","And as you can see, this area is like a den of young mafias because graphites of all sorts of colors and styles are drawn everywhere.",One of the young ladies is in a blue t-shirt holding her hands up to the head.
3582,"A Chinese looking man is standing nearby a metal fence, his hands holding the chin as one thoughtful.","He is in a black NY cap, he appears so thoughtful and worrisome. ","There is another man on the other side of the road, opposite to him, seating while playing his instrument.","He is in a blue trouser, and because of the covering iron bar this man's instrument is not visible.",The thoughtful and worrisome man is having his black back pack while standing.
3583,Two ladies are seated in an inn like building.,"This place resembles so much of a hotel or an inn, and the these ladies are Korea looking.",One of the two ladies is holding her hands together by the chin.,"And afar off the two ladies is another table hosting two other ladies, busy storytelling.",Their table has a red covering with a glass of drink like wine.
3584,"Two black men are seated around a metallic trade area,  one is in a blue shirt and the one in a white marks shirt.","The gentleman outside of the building is having an iron bar in his hands, like a scrap metal business this place is full of metalic pieces around.",The man in the building is searching for something on the floor.,"Both the man in the building as well as the one outside are both wearing slippers and not shoes, the ground looks watery as if it rains.",This man seating outside is also in a white marks shirt.
3585,"A man in black is walking down the street along the stores corridors, behind him is a poster with letters REDUCE SPEED. ","Ahead of him are two men in their worksuits, they also have blocked the store's sides in their effort to renovate it.","On one of their work signs there is a drawing of a man with a shovel, this is an international signage for men at work.",Another yellow poster hanging in the ceiling of the stores corridors is with the letters AUSTRALIAN MONDAY CORPORATION.,"The man walking is in a t-shirt with a yellow coat in the arms, as well as white mark in the trouser."
3586,Two black dogs are playing in grass.,"You do not wish to meet these fierce dogs, they are dangerous.","Around this place is a rocky fence, one dog has a black belt with a blue object.","One would also wonder the dogs' gender, the male dog is likely the one behind.","For sure, and the one in front is supposedly female."
3587,A class of black pupils are in a classroom with computers on their tables.,A female teacher is behind these children to instruct them computer lessons.,There is a red sheet with letters XO.,The immediate exit of the children's class has green plants growing along the fence.,Looking beyond the teacher's position there is a blue door.
3588,A group of bikers are moving the streets on their bikes.,A certain business man is hanging his doll to the display nearby.,And all the bikers are wearing their helmets.,"This is lawful of these bikers, as they are aware of how much life matters.",The sides of the road is covered with trees like a thick bush.
3589,"A young man and woman are standing by the front of the ship, holding hands.","Like TITANIC movie, as they hug the sun is kissing the sea at sunset.",There are beautiful sun rays or illuminations in the skies.,"Wow, it's superb how the sun rays are mingling with the sea waters.",This young man is also carrying his back pack
3590,An old man and woman are seated on blue chairs.,This old couple is sailing on the ship in sunglasses with newspapers.,The man is in his black sunglasses while looking up.,"Another man is behind in a cap having a leaflet, unless otherwise he must be reading.","The woman is also wearing a blue jumper, it is like they are sailing on the top shelf as you can see the river around."
3591,A man and woman are by the market buying some fruits.,"A child's bicycle is right behind them, while a white vehicle parks in front.",The tuck shop display is covered with a red linen beneath.,"Then the down part of the display has got empty boxes of the fruits on sale, and oranges hanging.",Beside the white vehicle there is a white building with trees around.
3592,A female tennis player is in a white top and black skirt.,"Her opponent is also in a green top, skirt and snickers.","The pitch has white marks or lines, and the end of the pitch has a wall fence painted maroon.","On the maroon wall fence, there are the following letters www.itftennis.com.",The pitch is dark green with white markings.
3593,A man is adorned in metallic armour riding on a horse.,"Surely, look at how he hides in a helmet like David before Goliath.",He is having a red piece of clothe which has a yellow coating.,"This man is getting the flag, he is well dressed and ready for war at anytime.","There is a plantation of trees behind, and he has also thick military gloves on his hands."
3594,A man in white cap and shirt is walking down the street with a food cart.,"This man's food cart is painted blue, and he is sailing pasta as indicated.","This cart also has black tires coated with white, the gravel is brown.","He is walking down the street near the grassy fence, with plants along.",The man is also in a gray trouser.
3595,A black boy is looking at the camera.,There is a poster and a blue long wall in the background.,He is in a red t-shirt and has short trimmed hair.,"Posters stuck on the blue wall include sign to the conveniences, along the same corridors.",The end of the corridors has doors open and before the doors a small black rubbish bin on the wall.
3596,A dog with black feathers is by the grass following behind with an open mouth.,"This dog is as fat as a healthy and well feeding dog must look like, gazing at the blown bubbles.","The dog has a short tail, it is either the tail was cut short or not.","It is most likely to have been cut short, most dogs have tails cut short for some reasons.","The area this dog is walking on has spaced grass as seen in some portions, plain with only clay and mud."
3597,A white lady is wearing a black t-shirt and has got long hair.,"Huh the looks like a man, this race at times is so similar that one gets mixed up.",At the same place she is unpacking from there are two baskets: blue and red.,The two men on the other side also are helping arrange boxess in order.,The parking vehicle behind the lady seems to have offloaded all the goods around.
3598,A crowd of white young people are celebrating having sprinkled themselves with red powder.,"The ladies are even better with vests, but the men are without anything for covering their chests.",The ladies in front of the crowd are quite excited during the celebration of the unknown ceremony.,"Behind them is another lady having a camera on hanging on the shoulders, with sunglasses in the forehead.","Besides these ladies in the crowd, someone else is wearing a black short."
3599,A black woman is seated on a play horse. ,She is riding on a play horse with chains.,"Afar off the woman is the beach, and before it a fence.","Near the white fence are two bicycles, and a woman.",Then across the beach there is someone else in black.
3600,A black dog is walking in snow ice with tall dry grass. ,"It is a white stuff in it's mouth, it appears to have been sent to pick.",This dog is pacing slowly and not rushing.,The place with dry grass is also all white on the ground.,It is no doubt that the dog has tearing eyes.
3601,Two old women are leaning by the wall fence.,"These women are storytelling by the street with hand bags in their hands, one of them is even in sunglasses.","The camera should have been in the car, as you can see the windscreen wipers in front.","Exactly what is in the picture, and up the wall fence there are white flats houses inside.",These women have blue and boxed hand bags.
3602,A black dog is opened the mouth as if it is yawning.,The dog is catching up a green tennis ball.,Beside the dog there are small trees around.,"The dog is also slim, you can even see the visible ribs.",Even the way its mouth is opened is as if the dog is surprised at something.
3603,A man is in a black hat and jacket.,On the right side of the man is a lady with black hair.,In their front view of the place they are in there is a crowd of people.,And there is a white vehicle on the road.,Further away from their position there is a building with beaming lights.
3604,A crowd of people dressed colorfully.,"They are at a cultural celebration, the ladies in the crowd are Filipino looking.",One lady in front is wearing a blue t-shirt with a big smile.,And her friend on the left side is in spectacles laughing along.,As they celebrate with others the ladies are having carton boxes in their chests.
3605,A white man with twisted hair is playing the guitar.,This man is rather tuning the strings with a tuner.,The man is also wearing a headband and then a drawing of the bird behind.,Behind and just below the window there are red letters 'ALESSI'.,And above the red letters there are white and green plates.
3606,A team of cooks are in the kitchen wearing their white uniforms.,One of them is in spectacles and the other one is without a hat.,While another one is having both spectacles on and a hat.,The one on the left is cooking with smoke rising up the saucepan.,And then one more cook is decorating the serving plate with other ingredients.
3607,A dog is running after the red tennis ball.,It has a brown coating around the neck and has blue dog belts.,Where it is running from there is long grass.,"But this dog is running around a cleared up space, with grass on both sides.","As if it is jumping, the dog is sort of up in the atmosphere."
3608,A crowd of people are having a blood like color on their faces.,This crowd is like those of the zombies movie acting crew.,"For sure they do, they have white and black tshirts while putting on ghost like make up.","One man in a black t-shirt has spectacles on though bending, behind him are women teamed up in this.",There is also another man behind the crowd in a blue t-shirt with a black cap.
3609,An old man is in a blue driving a yellow bus.,This man is looking to the door as a fat woman is exiting the bus.,In the front of the bus there are 'MAIN STREET ONLY' writings.,And in the sides of the driver's window there is a red lining.,"Round about this bus there are trees and buildings around, as this is in a town."
3610,A lady squatting is holding a camera.,This lady is a photographer and is in black sunglasses.,Also a man is standing next to the lady.,This man with the lady is likely a photographer also.,The lady is in a blue shirt with her hair tied backwards with a white hair clipper.
3611,Two Korea looking ladies are walking on the main road.,One lady on the left is slimmer than the other on the right. ,While they are there is a white vehicle parked past the same road.,The streets are so clean except for dry leaves tossing about.,"And trees, also on the other side of the road, are dancing to the breezing weather."
3612,"A white boy is in a white cap and t-shirt, the cap has rather more colors.","This boy looks Canadian though, he is on a plane rather a bus.",The seats behind him have two more white passengers on the move.,"The boy has on his left hand a three bangle bracelets of  yellow, black, and beeds.",And then the white cushions are covering the seats.
3613,A crowd of young people are having fun in a taproom.,The young men are in black and white while the ladies are colorful.,One gentleman looks surprised in a long sleeve shirt.,"Hahaha, it's no doubt he is not surprised at anything rather feeling high.",The barroom is illuminated with blue and red RGB led lights. 
3614,"A group of white folks are together in a room, with one man putting back the picture.","Equally two men and women, as one man is positioning the picture frame on the wall.",The room they are in had got glued blue garden chairs.,"And they are facing their backs at the playhouse of assorted colors, similar to African playmakeshifts.","The walls also have drawings of florally hills, it is as if this is a kindergarten class of toddlers."
3615,A white gentleman behind the lady is leaning his elbows on her shoulders.,"This gent is likely a basketball player, and she is his fiénce.","The lady is sitting on blue basketball court seats, they are arranged in order.","There are blue water bottles on the floor, and though scattered they are obviously sealed.",There is also a rubbish bin near the man standing behind the lady.
3616,An old grandpa is with his granddaughter looking into the fish pond.,"The granddaughter is little to see clearly, thus, he is put her in his front instead.","Green plants are in the fish pond to give a natural scene of a river, but the fish have color orange.","It is not clear the type of fish is in the pond, however it could be either tiger or bull shark species.","And across the fish pond, there are Office corridors with one man in a white shirt."
3617,A team of Asian looking men are on an open plank boat in red life jackets.,"This is a differently plankmade sports boat, as it open everywhere.","Nearby, if not on the river, are brownish buildings around.","And these buildings are definitely constructed right on the riverside, see how the fans are leaning towards the water.","The water appears dark green though, could it be dirty or otherwise?"
3618,A white woman is pushing herself on the wheelchair with a little boy ahead trotting.,"This little boy is quite adorable, see how he is playing along with the mother.",And the little boy is in a shirt with blue and yellow marks.,"Apparently the woman is disabled, either her eft leg is shorter or both and she is under a green tree.","Under the same tree, there is a public concrete bench."
3619,"A gentleman, in a store, is looking at the magazine with a smile.",This magazine appears to have an interesting caption of the title.,This gent is also in spectacles with a blue jumper.,"And the background has a feminine display of magazines, he then holds a plastic bag with something.",He seems to have gone shopping in a female store.
3620,"Two gentlemen, white and black, are surprised at the sweating singer.",This is a black singer rapping towards his white fans by the fence.,There is a young man at the back in a red t-shirt.,In front of this singer there is another fan excited and shouting to him.,All these gentlemen have got short and trimmed hair on their heads.
3621,A business man is sitting along the street on a stool by the food cart.,"This man is just by the corner of a pan-brick building, and across some are eating up the flat.",His food cart is of two painting: red and yellow.,"It is definitely this man is selling hot dogs, even as the his food cart is shaped.","The same place has got other stores along the street, and from the look of things the street is a business center."
3622,Some rugby like players are in their red sports attire on the bench anticipating substitutions.,"These players are intently watching colleagues, and this game is rather hockey.",One player is holding his hands under the chin.,"While another one in a helmet is blinked his eyes as if closing them, and there is a crowd behind.",The crowd behind the players is no other than hockey fans.
3623,A racing car is making a sharp turn on the gravel.,"This car is made a spinning wheel turn raising dust, while the crowd is watching.",The crowd behind the car is watching in awe.,"Surely this car can make one freak out, just the way the turning tires have spun.","The show ground is filled up, fans from far and nearby places are watching the sport."
3624,A lady with a gent in front are walking up the bridge.,"The man is with a dog behind but in front of the lady, on a bridge of steel.",The lady is in a white shirt with a black skirt.,"But the man is in a black skipper and short pant, with sneakers on.","The bridge has got a red mark, and the other side of it a building."
3625,A white man is in his spectacles and looking at the computer.,This man is in his office and sitting before a black machine.,He has got short hair and is wearing a sweater.,There are papers on his table near the machine.,The papers on his work table are white.
3626,Two white little girls are playing with stones on the floor.,One of the girls has footwear on while the other one bear.,Beside the two girls are flowery plants.,"Then on the floor, the girls have marked lines with crayons like chalk.","Indeed, as well as the girls are wearing shorts: one in blue and the other in yellow."
3627,White children are in a classroom making drawings.,This classroom has got all sorts of paperwork on tables and walls.,"The depiction of camp going children could also fit the scene, as you can see many bags around.","Possibly, and a fat woman is also sitting afar off and behind the boy in an orange t-shirt.",These children are also in a colorfully painted classroom.
3628,Four people are standing by the trees in the park taking a picture.,"A family man is with his wife and their daughter in between, while their son in front.","The son has spectacles on, but his father and mother have put on caps.","Near the boy a green pole written 'BERRY PICKER', while the side of the man a blue one written 'LIONDOWN'.",The boy also has a white bandage on his hand as one injured.
3629,A dog is running through the sand if not the grass.,It is running while barking  with curious ears up.,"It also has a lock on its neck chain, locked around the neck.","Then around its nose there is a pink color just as the mouth, like the gums.","Exactly, it has a pinkish nose."
3630,An unknown person is sitting alone in a black coat.,It is a man seated on a red bench reading his newspaper with a female picture.,"And this place looks deserted without people, but trees around the whole area.","An inch from the bench, between the trees, there is a rubbish bin as this place looks neat.",His newspaper has got a red color in front of the woman's picture.
3631,An unknown animal is walking on the ground.,It is a house dog walking from the muddy waters.,"Huh, the dog is so dirty that one would not know it.","Hahaha, it is walking with a new look.","It looks like a wild animal, except there is not anywhere bushes."
3632,A white old woman is sitting on a pillar of  a building.,"This woman has put on a white blowsy with a black coat, looking at the camera.",She is wearing a black coat holding her bag in the hand.,"And then looking to her left, on the building top is a white label 'TONISA'.",And she has got short gray hair.
3633,A white young man is skating on his skateboard down the stairs.,His friend next also coming after him.,Afar off the gent stands a lady leaning on the tree nearby.,As well vehicles parked along the street near the building.,And the lady is standing just behind a vehicle parked along the road.
3634,The tailor is on his sewing machine in the room.,And the whole place is dangling with sewing material.,The man has got short hair.,"As the whole place is full, one wonders whether or not there is any windows.",And behind his sewing machine a plastic bag with and a black coat.
3635,A white little boy is stopping by the riverside to pick a stone.,"This boy, although wearing shoes, is stepped on the water while looking to the left.","He is in a green shirt, and has got brownish hair too.","And he is not hydrophobic, but calm and peaceful.","Most whites, like this child, are not hydrophobic."
3636,A man in a white shirt is falling off the horse.,The horse is furiously shaking him off.,While another man in a blue trouser is watching.,Bedsides he is also helpless about the situation.,He has a black cap on.
3637,Two little boys are sitting in a blue sofa eating fruits.,"The boy on the right prefers an apple to a banana, and the opposite for the other boy.",The boy for a banana is in a greenish t-shirt.,"While the other boy is in a gray skipper, but both boys are wearing socks.","The window, also, is covering blue curtains."
3638,A man is having his baby and his wife by the side taking a picture.,"The photographer is also female, standing in front of the two.",The photographing woman is in a black coat and a blue trouser.,"And the couple is likely to have been in this hilly place for the first time, hence memorable pictures.","The place is with hills and rocks all the way, from down to the top mountain."
3639,A woman on a train is seated reading her newspaper.,"Alone she sits warmly dressed, and behind her another man lonely as well.","On another seat there is a loner man, just like the other passengers.","As long as the train is still empty with few passenger, everyone is scattered around.","The train then has got ceiling lights, lit to brighten the journey."
3640,The unknown group of people are dressed up in red.,"It is a battalion of an armed force moving with battle tools, officials riding on elephants behind.","They are also putting on red hats, with some on the elephant tops.","The Chief Captains and other higher ranks are the ones riding on these elephants, coming from their official territory.","A certain building is behind the troops, it is painted rather coated with gold."
3641,A black lady is in black sunglasses with a white t-shirt.,The lady is ahead of a man and woman also coming the same direction.,Both the man and woman are having blue shirts.,"As they appear busy, this trio is to and from the work places.",And the man is also in a green trouser.
3642,A man in a white shirt is in the office before his computer.,"And the table with papers is of a coffee color, a white telephone also.","This office is probably his own working space, he is on a black with blue chair.","He has his spectacles on, there is a white big book on the table besides car keys.","This man has also got a bald head, on the right of his table again a pile of white papers."
3643,A man in colorful clothes is on the snow mountain top.,"With his skating sticks and a back pack, he is on a snow skateboard.",On the other side of the man there is a snow mountain.,He is in a white cap and skipper inside the floral shirt.,"This place is also quiet, as it seems he is the only man standing."
3644,"A young man is running in the relay tracks, while a crowd of people is watching.",The gent is in a purple jersey and a crowd in he sides is amused.,"Everyone of the people, in the crowd, is looking back to where the racer is coming from.","Possibly due to the fact that someone else is just about to catch up with him, most definite.",Around the race track trees are beautifully displaying a touch of nature.
3645,A young girl is smiled alone in a swimming pool.,"The girl has got long shiny hair, with a front gap teeth.","She is blinked her little eyes, as though dosing in wtaer.",The little Ms is obviously skittish before a camera.,"And her long hair dangling, has partially covered the face."
3646,A white woman is in the pool with arms stretching to grab her little boy.,"The boy runs out to her in a blue costume, while other men leisurely sit by the pool side.","There are others also by the pool side, although not swimming.","And on the floor near the swimming pool there is another blue costume, and a pinkish pair of glasses.","Beyond the other men and women outside the swimming pool, there is a building with window glasses."
3647,A group of a white race is gathered in white and yellow dress code.,"This group is at the ceremony of some kind, also flags for different countries are raised high.","Differently dreesed, one team is in white and the other in yellow.","To maintain order at the event, a team in white with red belts is calming the fans in the sides.",This team is holding hands in keeping away anybody else from invading the people middle.
3648,A white little boy is running across the bridge.,The boy is head to the girl in red ahead of him.,These children are likely to be playing.,Although they are running towards somebody across.,Many trees are also at the end of the bridge.
3649,"A white man in a green shirt and has a helmet on, to protect him from injury.","The man is jumping up the snow skateboard, he is worn a checked shirt with purple trouser.",The cap of white and he has gloves on.,"Even as you look at him up, you also wonder how he landed on the the snow.",He has even dispersed the snow which appears like stars before the sun.
3650,There is a group of people climbing the mountains top.,A young lady in red carrying her back pack is behind the man.,She is also wearing a red shirt with a black cap.,This darkish mountain they are climbing is similar to Black Mountain of Kitwe on the Copperbelt.,"As they climb up the hill, there is a supporting fence along the pillars."
3651,A white old man with gray hair  is perusing through a newspaper kind of magazine in public.,"This newspaper has got the map of the world and campus, besides another man with a camera.",He is wearing a red t-shirt with a black cap.,A lady walking the opposite of the old man is in black with long brown hair.,Another man nearby this old man is in black sunglasses  and a white shirt.
3652,"Two men are in the pit digging further, and are in blue shirts.","They are digging further with picks and shovels, but the third man in a hat is not working along.",He is wearing a white hat to prevent the sun from scorching him.,He is in a t-shirt with blue letters saying Susy.,"All the men are wearing caps, and they're not using all the working tools instead."
3653,A white girl is on the swinger facing upsidedown.,She turning with the head downwards but not falling off the swinger.,"This place is with green and beautiful trees all around, like at the playpark.","This picture was taken on the 6th March, 2006, 6/3/2006 in short.",In the sides of the swinger are two chains which hold together the swinger.
3654,Two women are seated on the railway station seats.,These women are seating with physical in between.,One woman is in black and the other in whitish.,Before them is a poster saying Wilmersdorfer StraBe.,These letters are in black and white.
3655,"A gentleman is on the train seat, near the window.","He is in the corner with his leg in the other, also his hand on the camera.",He is looking at the camera with his elbow on the window.,From the look of things this train was moving at a higher speed.,On the shirt he is wearing are writings of different colors.
3656,A group of people is gathered in showgrounds with animals around.,"This event is not different from the agricultural show, a girl is holding a goat.","Ths girl is in a white shirt with a black trouser, waiting for an adult to walkout with.","And other people around here are in blue, gray, and some in floral clothes.",Near the standing girl two men are busy storytelling in the showgrounds.
3657,Two ladies are walking down the street by a big building with a red roof.,They are walking by the road side with different vehicles parked in the side.,In the walls of the building are picture frames of some paintings.,The ladies seem rushing to their places of work as it is in the morning.,And the wall shelter of this building has red stools with white tables fir eating.
3658,A white lady is lifting up her girl child for a photo.,She has a bag on the shoulders and a child in front.,The lady has put her sunglasses in the forehead and is in a black shirt.,"She is standing under the trees, and the pathway is literally dusty with leaves.",The two are in the bush with many trees around them.
3659,"Two dogs, small and big, are playing along the road.","These dogs have different colors, black and brown.","Both dogs have a black mouth, and seem harsh.","The black dog has a short tail, while the other long.",They are both male dogs with each a tail although different sizes.
3660,A dog is jumping across to catch a flying disc in the playgrounds.,At the same time a woman behind it watching it timely as it catches the disc.,The woman is in a black top and gazing at the jumping dog with awe.,"She also has silver earrings, and a brown long hair some of is even in front.",Around the playgrounds are green trees giving the area a refreshing atmosphere.
3661,A white man is stooped writing down with a writing object.,"This man has a black helmet in his hands, and looks like a rugby player.",His t-shirt looks to be black or navy blue with red lines around.,"Unless otherwise, the man is wearing a trouser outside his full body kit.",Around the play ground are vehicles of different colors parked behind.
3662,A white man is on the stage with a white paper sheet as one giving a speech before an audience.,"This building is a theater full of lights, with a live audience ready to dance along the musicians.",Almost everyone in this theater is wearing black as if it was a plan.,"Also among the audience, near the camera, a lady with long black hair besides the other man.",The ceiling is bright with illuminations from the handing lights.
3663,"A black old man is seating before a xylophone while playing with sticks, a girl near him is watching closely.","As he plays this instrument other kids are round about him, and a pregnant woman stands beside the children.",There is a young boy in red t-shirt watching how a black granny is jiggling his xylophone.,Around the man are other people busy minding their own business and not concerned about the playing xylophone.,Just as around and behind a woman in a green shirt other women busy about their own business. 
3664,A fruits salesman is standing behind his business shelf selling red like tomato fruits.,"This man is selling fruits which include the red apples, he has lifted up a plastic with fruits.",He is wearing a colorful shirt and has around moustache.,"Among his displayed fruits I can see pineapples, by the side of the middle box.",There are other people around the market buying their goods.
3665,A team of ladies and gentlemen is walking down the hills of the snow mountain to their tent.,"There are four equal team members, one lady is at the tent door,  two are females and the other two males. ","They are climbing up and down the snow mountains, camping in the cold.","These friends are awesome, because you just wonder how they manage camping in the cold.","They must be fully geared, see how they have their back packs with warm clothes on their journey."
3666,A team of young people is gathering around the table near the lakeshore.,The table has on its top a cover with letters NUESKE'S.,A certain man is in a blue t-shirt and a black cap.,"Looking further down the lakeshore a parked bicycle, as if there is a route.",And just beyond the lake there is a vast verdure to admire.
3667,"Two white gentlemen are in the couch covering with a white duvet, one of them is in spectacles.","They are watching TV, and on the wall behind them a poster with words Coming soon to theatres.",Both if them are laughing as though they are excited together.,"But near the wall, on the side, there is a piece of hair whose gender is unclear as well as the face.","The other gentleman, not in spectacles, is wearing a black shirt and his friend white."
3668,A white old man in a white shirt with his dog tied to the rope is standing in the passage.,And opposite to the man an old woman also with her dog tied to the rope is talking with him,"Aside from the old woman, a lady in sky blue shirt and black trouser is standing nearby.","They are all standing in a tiled passage under the tree shade, with grass in the sides.",Looking beyond them on to the other side of the road is a fence with flowers and houses.
3669,A motorcyclist is in a green shirt riding on his black motorbike.,He is riding past broken vehicles by the roadside.,Along the same route you can see electric power lines across the road.,"The rains must have been pouring or showering, see the stagnant water.","Among the broken vehicles by the road side, one of them is white and does not have any doors."
3670,A white gentleman is lifted up his hands touching the ceiling.,This man is in a beer hall with different lights around.,His hair is short and wearing a white t-shirt.,"As if he is all alone in the whole place, what could be happening here?","None can really tell, and his shirt has got black writings."
3671,An old man is in a shelter seated on a black chair.,He is looking at the camera and on his table glass cups.,And behind him there is a white poster in blue letters.,"The whole place is made of planks, from shelter, fence, tables, and chairs.",The old man also has a moustache on his mouth.
3672,A lady in a white head covering is by the road side talking with a man.,This lady talking with the man in a hat is dressed like a Catholic Nun.,It seems like this man in a black hat is explaining something to the Nun.,"The man also holds a smoking cigarette between his fingers, while talking.",Besides the two people vehicles and others are passing by as this is by the sidewalk.
3673,Three white gentlemen in different caps are by the road side crossing the streets.,"As they are crossing the zebra crossing of the traffic lights, the red light behind them is on.",The gentleman in front has got short hair not long enough to reach the neck.,They seem to walk from some shopping complex though they are not carrying anything.,"Traffic lights are also behind them, and other people walking around."
3674,A motorcyclist is on the road riding on his green motorbike.,"S/he is speeding terribly, but is also wearing safely the motorbike kit.",Besides the bodily kit there is a helmet on the head for protection from injuries.,"Even better, because without the kit one would instantly upon falling.",Green trees are everywhere along the road where  this motorcyclist is riding from.
3675,A white lady is walking in a blue coat with red shoes in her hands.,"She is carrying a pair of red shoes, and crossing the traffic lights.","There is a pole with two red colors on her left hand side, near the fence.","The area she is headed to is a school of grammar, either for the young or the adults.",Just near her are different posters in different colors by the traffic lights.
