IMAGE #,SPEAKER_01,SPEAKER_02,SPEAKER_01,SPEAKER_02,SPEAKER_01
954,"in a place full of people, there's a man dressed in a white jersey with his hands in the pockets of his trousers walking","there's a lady in front of him smiling, what is the man close to her doing?","he is wearing glasses and carrying a bag, it seems he wants to tell something to the man in white or is telling him something","and he is listening to him speak because he is looking at him, and they are people heading their direction behind",this place is full of buildings with people doing different things in them
955,a man with specs is on the stage singing a song,"he is singing his heart out, what is he holding in his hands?",he has a guitar that he is playing and he is standing before a stage microphone,he is wearing a yellow shirt and hat,"and he is very happy as he sings, and at a distance from where he is are some storey buildings"
956,people in a place are doing different things,this place is full of storey buildings,on one storey building are people sited on the roof top watching something,have you seen what the family near the vehicle is doing?,"yes I have, they have fliers, it seems they are marketing something"
957,two elderly men are sited on chairs inside a building,"they are sited around a table, have you seen what's on the table?","yes, there's a plate, it seems there was different food and drinks","the men are facing each other as they speak, the man in a cap is near a human head statue put on a stand",and they are happy as they talk and there's a hat on the wall
958,a brown dog is near the river,it is about to go into the clear water that's able to show the dog itself,what does it look so white on one side of the dog?,it's because this place is full of ice and the place where the dog is has just melted,"that's true, it's amazing how the dog is stepping on ice water that's really cold, it could be because of its furry body and it's used to this place"
959,three people are on a lawn,one man is in front then the other two are far behind him,"of the two behind, one has a bag pack and is wearing a red cap","the other has his hands in his pockets, then the one in front is wearing a red shirt","they are walking during the evening, then they are trees on the sides of the lawn"
960,"in a sports field used for bull racing, a man is on his bull","it's a black bull, what's happening?",the bull is about to crash into a picket fence with it's rider and will crush into the man trying to get on top of the fence,"it seems like a really hard game, what are the people on the other side of the fence doing?",they are here to watch the game
961,"during the afternoons, two ladies are outside a building with brooms in their hands","they are wearing similar red trousers, why's that?","they are also wearing white shirts, it seems these are work suits and that's why they are dressed this way as they sweep",they are also wearing red hats and aprons,"that's true, it seems they run a business in this storey building that has different colors and windows"
962,a black dog is running on water that it has splashed everywhere,the dog has lots of fur on its body,"that's true, this dog looks like a different animal, have you seen what's stuck to it's mouth?","yes, it has a black piece of wood that's alittle divided and red on one side",and near the water is stepping in behind is dry grass
963,three men are standing in one place while one is sited,"it seems they are chatting, what is each one doing as they chat?",the one is a blue romper like work suit is next to a white vehicle,next to him is one in a black shirt holding his waist and a cup that he's drinking something from,then next to the one sited is another in a blue trousers pointing his have and they are all happy as they chat
964,a black fast dog is running,it is a brown patched dog on its face,it's running with it's mouth open and it's lifted is tail,where is this dog?,it's walking on the lawn sitting the afternoon
965,a young man is in the sports field playing a game,"he is wearing a red shirt, a white hat and glasses",and he is wearing a black hat and has a balt in his hands,"there's someone hear him, what sort of game is this and what's the other person doing?",they are playing 
966,during the evening a man and a woman are inside a building,they are both dressed in black with white stripes,the lady is whispering something into the man's ear,"they are so close to each other as they are standing, the man is holding a cup of beer","behind them is a lady facing down, they are in a club"
967,a man and woman are standing outside during the afternoon,the lady is facing the man while holding one hand in her hair,the man has a back pack with a microphone in his hands,it seems they work for the radio station because the lady has a paper in her back pocket,"that's true, it seems so, or they could be rehearsing a script that they want to shoot and they are in a road with storey buildings on the sides"
968,six ladies are on the well built narrow road that's white and next to a house,"they are in groups of threes, three are in front while the other three are slightly behind",one lady has a long break pack them the other two behind are wearing skirts,the one in a white skirt is wearing a black shirt and has a bag,then the one next to her has a small black bag and holding the other on her shoulder
969,a man in a red shirt is standing while holding a small axe in his hand,he has a frown on his face as though he wants to throw the axe at someone,he has opened his eyes wide open as though he is starting at someone then there's a little boy behind him sitting on a rock,the little boy is wearing a trousers and something green on top and looking at the man with the axe,behind the little boy are other people walking and they are also trees
970,three people are inside a museum,"among them are two men with one man, what are they doing?",the man is talking to one of the ladies as though making his first move towards her and he looks happy while he talks to her,the lady is wearing a a black jean trousers and behind her is a man looking at her sculptures,on the other side near the lady is a human sculpture with a dress and building is full of different lights
971,two men are in a place full of people doing different things,"the one in front is wearing a grey shirt then the one behind is in a white one, what are these men doing?",they have two plates full of food that they are eating and the one is in front is smiling,that's true she near them are ladies sited chatting and having some food,and behind them are other people and white tents it seems they are celebrating something
972,two men are on their one wheeled bikes on the road side,"the side of the road is well made, it's tarred and clean","that's true, even the broad road itself is clean",they are some plastic road signs,these men are next to a storey building
973,"during the afternoon, two little girls are sited inside a room with their legs folded","they are dressed in similar clothes, why are they are dressed this way?","these are pajamas, they look like they are playing in the bedroom","this room has a huge windows, and they are trees outside, what are these girls playing with that they are paying attention to?","they are playing with different toys, since look like beds and they are some papers on the floor they are playing with"
974,a group of men and women are gathered together in one place,"it's during the afternoon, what are they doing?","most of them have cameras and are capturing what's going on in front of them where there's a huge, tall storey building with a lady on top of it",and the people are standing on the ground as they capture,"that's true even on the building next to this one on top are done people capturing, this building is surrounded by other buildings"
975,a woman is with two young girls that she's walking with and behind them is another young girl,"it seems they are together even if one is slightly behind them, what are they carrying?",they are all carrying blue plastic bags with things in them and they are in a market place where they are from buying things from,"indeed, all four are wearing jerseys, it seems this is a very cold place",it seems so even the people in front of them are wearing jerseys and the road looks wet it should be from raining
976,"a lady is sited on wood during the afternoon, and she's leaning against a log",why does she look this way?,"she looks worried about something, she could be worried about what she's reading from the book or she's lost in thought",it seems there's a doll close to her leg because it's different from how she looks,"I thought so too, she's wearing a black head cover and a grey crop top"
977,a dog is on top of a log that seems divided on the middle,"it's a grey dog, but what's it doing?",it's sniffing the fort close to it's nose and it has a chain dog collar around its neck,"they are tiny trees near it, where is this dog?",it's in the bush because they are green trees and grass around it
978,an elderly lady is sited on a chair and facing down while holding a bag with one hand and the other on the chair,"she's next to a washing machine, why does she look worried?",it seems she's waiting for something or someone because she's covering her head as she's bent and her face is not showing,"if that's the case then she's tired, it could be that she's waiting for the clothes in the washing machine so that she packs them",that could be true and there's a fridge near her full of drinks
979,an elderly man and lady are sited facing each other during the afternoon,the enemy woman is wearing a red shirt then the men is in blue,"they are chatting, the lady has something in her hand and they are bottles of water closer to each of them",they are two other ladies sited outside at a distance from where they are also chatting,they are all sited next to the doors of their houses and they are other people walking outside on this road
980,a man is climbing a tree and pulling it while climbing,he is wearing a a green shirt with a blue trousers and a hat,he is wearing black glasses and a white work helmet,the tree he is climbing is full green leaves and there's a yellow rid near him,then under the tree is a big yellow tools box that they use in keeping electrical tools
981,eight people are on a bridge in twos each man and woman,"two are hugging, the man is dressed in grey the lady is in red","the lady in a white shirt had our her hand around a man's shoulder she's walking with, this is a lovers place",that could be it because even the ones walking are walking as couples close to each other,then next to the bridge are storey buildings
982,two fat men are walking on the road,one is dressed in an orange shirt with a red short and has a bag pack,then the one behind is wearing a blue shirt with black shorts and has glasses in his head,and they are walking close to the corner of a yellow building,then on the other side is the road where they are coming from is grass with a talk building
983,the men are standing next to a big white ship,the one in front of these men is wearing a black trousers then the one behind is wearing shorts,"then the one behind him is wearing a white shirt and black trousers, do you know what three are doing?",they are holding a green rope that they are putting into a big bucket,it seems they use these ropes when they are preparing the ship on sea
984,a little girl child is doing a back flip,"she's really steady because she's not slipping, to what is she holding on?",she's holding on to metal rods specially designed for flips and she has her eyes closed,she's wearing very tight and light clothes ,it's so that she can play her game well and the wall next to her is red
985,a mother and children are on top of the hill that look grey,the song is on top sitting on one side tying his shoes,the mother is just reaching the top and had two hats with a bottle that she's holding,behind the mother is another child about to reach where they are and looks tired,they are at this place during the evening and it's a beautiful place with water and grass on hills on one side
986,two men and two women are sited on the stairs,the stairs have metal bars in between them that divides one side from the other two sited on each side,"the man and woman on one side are wearing shorts, the man is hugging the lady as she has peaked him",then the lady on the other side is sited a stair underneath the man and that are sited separately,they are sited outside a brown building has windows
987,a man is on the road running and has something in his hands,what does here want to do with what he has in his hands?,he seems he wants to throw it in the air and it's wearing a black shirt and red shorts,they are trees that have grown on the side of the road,and they are some logs that they have made using these trees
988,"a couple is getting married, the bride is in a white dress while the groom is wearing a black jacket","they are people standing next to a table with a pot of flowers, where are the bride and the groom facing?",they are looking at a man standing next to a tree that's playing a guitar,then on the other side next to a tree is a man with his wife standing what are they doing?,they are also watching the man playing the guitar on the new couple's wedding day
989,an elderly man is the bush full of grass,he is wearing a skirt without a shirt,"there's a basket in front of him, what's inside the basket?",there's long grass that's well packed in it,behind him are green palm trees
990,a dog and a cat are under what seems like a table,the dog is black and brown while the cat is grey,"the dog is barking at the cat that looks very curious, it could be they are about to start fighting","indeed, they are two logs on top of the table that the cat is underneath",near the dog is a building with windows as though it's a house and they are wood sticks parked together
991,a mother is sited with their child while lifting her and they are both smiling,"the mother is wearing glasses in her head, have you seen what's on the table near them?",there's a plastic cup for the mother and the child's milk bottle,"there's a child's leg near them, have you noticed the place they are in?",yes it's full of different people sited on erect sitting walls inside a building
992,a little boy is sited outside a store at the market,"he is dressed in grey u and facing down, what is he doing?",he is looking at something on the cupboard next to where he is sited that's open with a green box on the table full of different tools,"and he is paying close attention to what he is seeing, what's in the store?",they sell different kitchen utensils of different colors made of plastic
993,four female chefs are in a restaurant,"two are in front close to each other, it seems one of them is the master chef teaching the other",the one learning is not wearing a white hat she's only with her hair,then there's one in blue facing the lady she's with serving food on a plate,"it looks tasty and well arranged, to here rice with chicken, they will enjoy"
994,"at night, some men and women are in a club ","this building looks very big, what sort of building is this?","as they are drinking, they are playing different games too while others are just drinking and chatting","it means they are enjoying, it's clear from the the men that are standing and watching something","certainly, the one on the middle of smoking a cigarette and the building has different colored lights"
995,three ladies are holding each other as they are walking and are looking at something,they are all wearing similar bangles on their hands,the ones at the end are holding the one on the middle that's wearing an orange dress,the one on the left is wearing a yellow dress and they are all wearing head covers,"yes these are traditional clothes, then the one on the right is wearing a green dress"
996,two men in jean work suit and green shirts are working,they are digging soil where there's grass using a wheelbarrow and a shovel when digging,"the place is protected with black plastic surrounding the place, have you seen what's in front of them?",red there's a yellow tractor removing soil from the ground with a man in it,he too is wearing an helmet like the other two and it's the one driving the tractor
997,a man in a blue shirt is standing inside a building singing,"his ER yes are close, he's mouth is open and he is singing with his entire heart","it seems so, this man has a guitar in his hands as he sings",he has lots of bangles in his hands as he plays and sings,he is standing in front of a microphone that has been mounted and near him is a lady standing
998,four men are on brown horses and they are running,"all of them are wearing similar clothes that have different colors and ver tight, why is it so?",it's so that the clothes do not weigh them down as they are racing so to that they can win,"is that why they are all wearing helmets so that they don't get injured, where are they?",they are in a sports field where they are racing from with trees and soil on one side
999,a man and a woman are riding their bicycles,"they are not the wearing black jerseys, the lady is slightly in front of the man","they are on a broad road, the lady is on a red bicycle while the man is on a black one",they should be enjoying riding on this road,the man is carrying a black bag and close to where they are is a storey building
1000,a man and a woman are inside a building sited with a huge piano between them,"the man has something red in his hand, do you know what it is?",yes it's a piano used in making music,it's beautiful and the lady is happy to see what she's being taught,behind them near a yellow wall is a man and woman learning something
1001,a man is on a brown horse and is holding a rope in his hand,"he is wearing a jean trousers and an helmet, what is he doing with the rope?",he is trying to catch the cow infront of him that has a rope around its neck,why is he doing this? where is he?,it's a game of horses and there's a crowd of people watching what this man is doing
1002,a man in a black jacket and trouser is on his phone while standing,"he looks worried, where is he?","it seems he is looking at something, he is standing in the middle full of vehicles on the road",the vehicles are well parked such that done are on top of others,then they are buildings around him while he is standing on the middle
1003,a man in a grey shirt and black trousers is walking on the road,he is looking at some writings on the wall as he walks,there's a drawing of a huge rat on the wall,it was done by a very good painter because it looks so real with a pointy mouth,"indeed, he is brown and drawn on a red made with small bricks"
1004,"a woman with two young boys are walking, the younger one is in front while the two are behind",the ones behind have black bags and are close to each other as they walk,"they are walking close to dry grass, have you seen what's near them?",there's a small house made of wood and another house next to it,then they are dry trees where they are headed that look grey
1005,a lady with reddish hair is sited on a chair and smiling,"she's wearing glasses, what is she doing and what sort of chair is this one?",it's one that helps her knit because she has some knitting materials,she's wearing a grey sweater she there's a basket on the ground full of knitting tools,there's a table behind her with white material and a map
1006,a lady is standing while lifting a man in her arms,she's wearing glasses and happy to lift the man,the man looks scared and it's wearing a blue shirt,"the lady is dressed in grey, why do they look like this?",their clothes look wet because they have come from water and there a green tree and lamp behind them
1007,nine people are squatting outside,"they are all dressed in same clothes, why's that?","it seems they are students and are wearing uniform, have you seen this lady in front?","yes, she's done the peace sign with her hands",the rest are paying attention to what's happening in front of them but her and she's very happy
1008,a man in green is squatting and touching inside a plastic box full of tomatoes,"it's red tomato, what is this man doing with so much tomato?",he is displaying it on the table that has vegetables so that he can sell,yes that's true because he is displaying neatly and they are others near him selling too,it's because this is a food market
1009,a man dressed in black is sited on a chair and it's resting his head on his palm,"there's a table near him, what's on it? ","they are different books and he's looking through one, it seems he is not understanding what he is reading","it seems so, the room he's in is made of clear doors and windows",then on the green wall outside is a painted hand with all fingers representing something with arrows
1010,a man dressed in black is on top between two walls,"he has stretched open each leg on each side, why is he so high and what does he have in his hands?",he has fire on one hand then he is only holding on to the wall with his legs,"that's true, these reasons are in front of a storey building",the yellow building has glad doors and windows
1011,"a small group of people is standing in front of a store, they are male and female",what is sold in this store?,"they sell different baked foods, there's a man inside the store then the rest are outside","the food is well displayed nearly in a plastic bowl, what is this man in a white shirt doing inside a store?",he is preparing food that he's selling to the people lined up outside the store waiting to buy
1012,"a man is on a skateboard, he is squatting as he's on top and facing the ground","he is in the air and dressed in black, you can be amazed how he got this high","yes you may wonder, he has things helping get so high up, what he's sited on has a rope, have you seen where it's tied?","yes I have, it's holding on to a parachute that's red and black inside helping him to be in the air","that's true, they are other parachutes with different colors in the air at a distance from him since are red while others are blue"
1013,a small grey dog is on grass,the dog has lots of fur that almost covers it's eyes,it's mouth is open and red tongue outside as it's sited,this grass has little beautiful yellow flowers in it,there's a house and trees at a distance
1014,a lady is sited at the river banks,she's wearing a long black jacket,she's sited on top of the banks and has put her feet in water,she looks worried or list in thought that's why she's sited at the banks,it seems so and that's why she's all alone with no one disturbing her
1015,a man is sitting on a wooden chair,what is he holding in his hands?,"they look like metal instruments he is playing, then in his left hand holding something reaching his face that he is holding using his right hand",he is wearing a white robe and holding his sound instruments on the middle of his hand,this place is dark it's as though there's a light directed to his face
1016,a lady and a man are each sited on their horse,she's wearing a blue shirt and a jean trousers,"the men is wearing a jean trousers and get shirt, it seems they are chatting as they are on horses",they are both wearing helmets and are riding their horses slowly,that's true and they are walking on a tarred road with trees on both sides as though they want to meet in between
1017,a man is fighting with his dog,what's really going on?,it seems the dog is biting his hand that's why he is holding a black stick in his hand trying to hit it,"it seems it bit him hard, it's a good thing his wearing something thick on his hand",they are fighting such that the place is even dusty and there trees behind them
1018,a lady is sited on a chair outside during the afternoon,she's wearing a grey dress with a black jacket and has a crown in her head,"she's holding one hand in her head then the other she's holding a cigarette, she seems very worried","then there's a bag on her table and match sticks, where is she?",she's sited outside a building where there's a lady inside selling
1019,a man is on a skateboard on top of a red drum,he is squatting alittle on his board,he is dressed in black and it's at night because it looks very dark,won't he fall off the drum?,if by any chance the misses any step he definitely will fall that's why he is paying attention to what he is doing
1020,people are at the market full of stuffed toys,everything being sold are childrens stuff,"definitely, the toys are put on top with yellow ropes then other toys are tied to chairs",there's a man and woman selling near the stuffed toys,"then the woman is talking to a man in blue, it seems she's explaining something to him and there are lots of people behind him"
1021,a lady in a red shirt where black trousers is sweeping,she's using a tall broom that has a green handle,do you know where she's sweeping?,"she's sweeping outside a store, what's inside the store?",they are some female dummies of different colors that are wearing shirts being sold and there's another store near it
1022,a man is in a place full of different people birth male and female,he is kneeling and holding a hat while putting both hands down,where is this man during this afternoon?,he is on the road full of people both young and old,it seems he's begging for money from the people passing so that they put in his cap
1023,lots of different men and women are outside in a place full of buildings,these are huge storey buildings,"the building in the middle has a road heading out, it also has an erect sitting wall and a big watch on top",what are all these people doing outside the building at this time?,it looks like it's a museum or a place for site seeing
1024,"during the afternoon, a man is squatting on a tarred road ready to play a game",he is wearing blue shoes and a black helmet on his head,what is this young man doing?,he is about to start to start skating on the tarred road,it seems he is relaxing as he skates
1025,a young girl is sitting on the road side during the afternoon,she's wearing a school uniform and has tied her hair behind,what is this little girl doing?,"she has book, it seems she's reading something and she's put her bag on her right side",there's another road in front of her with vehicles in it
1026,during the afternoona child is with it's mother in a lovely train,what are they doing in the train?,they are looking through the window as though they are looking at something and they are paying attention,the child is wearing is dressed in red while the mother is wearing something yellow and are carrying bags,the train is tall and this place is full of green trees
1027,an elderly man has folded his leg and holding his shoe with his right hand,he is wearing a blue and white shirt with a black trousers and a different colored hat,what is this man doing?,"he is sited nicely, it seems he is ready to take a picture",and it seems he was from singing because there's a microphone in front is him
1028,two men are standing under an open vehicle that's on a tarred road,they are both wearing blue and white shirt then ones wearing shorts while the other a grey trousers,what are these two men doing on the tarred road during the afternoon?,it seems they are fixing the vehicle that's open and have removed the front tyres,behind the vehicle where these two men standing is another vehicle surrounded by other people
1029,a white man is standing outside on a skateboard,what is she doing outside at this time?,he is skating outside the building with both hands in the air,he looks prepared without any fear to skate and he's wearing a blue trousers,this is a beautiful place with behind green trees behind
1030,"during the afternoon, two men are standing near a river and are both wearing sleeveless shirts with shorts","one of the men is on wood where they have put chairs, pillows and bags",the wood is on the ground tired to trees where there's a tent to shield them from the sun,what are they doing here?,it seems they are here to have some good time near the river
1031,two young ladies are in a room on different spots during the afternoon,one of them is wearing a grey jacket while the other is wearing a blue shirt,what are doing inside the room at this time?,"they are taking pictures of each other, the one in the grey jacket is capturing the one in blue",she's focused her camera while the one being captured is ready to be captured
1032,a little boy is in a sports field wearing a red shirt and a grey trousers,it's a really big sports field and he is wearing sneakers,what is this young boy doing?,"it seems he is playing football and at this moment, he is going to pick the ball",there's also an elderly woman dressed in white clothes
1033,three men and a lady are inside a building that looks green,two men and the lady are standing while the other man is behind them,what are these three doing?,"they are discussing something, one of the men looks like a Police man because he's wearing a police uniform",the man behind them is looking at the three discuss and he is paying attention
1034,a white man is sited inside a white vehicle in the afternoon,what is this man doing?,"he is sited with his right hand out, it seems he is waiting for something as he is sited in the vehicle",where is this man that he is sited so luxuriously?,he is in the parking lot where he is all alone with his vehicle
1035,"two black dogs are in the sports field in the afternoon, one is in front of the other",what are these two dogs doing here are this time?,they are chasing each other because the one behind is biting the one in front,what sort of place is this?,this place is full of green grass and the dogs are all alone
1036,men and woman are in the same place in the afternoon,what sort of place is this?,"it's a beautiful place full of storey buildings and trees outside, there's also a red umbrella and an elevator",what are these people doing at this place?,"they are buying different things, it seems they are at the market"
1037,"a man is in the bush squatting during the afternoon, he is wearing a hat and has a blue bag pack",what is this man doing?,it seems he is taking pictures because he is holding camera in his left hand,how does this place look like?,it has small rocks and green trees with flowers
1038,four men and a woman are in a room during the afternoon standing,"the lady is wearing a bra and a red scarf around her, she's in front while the men are behind",what is this lady doing in a room full of men?,she looks ready to take a picture and she looks like a famous person,the men behind look like the ones taking the picture
1039,a man and two ladies are in class,what is this man and the two ladies doing?,"the two ladies are learning, it seems the man is front is teaching them",the man is holding his right hand in his pocket while he's using left to point at some words on the wall,"this room has sits, a table where there's a computer and some drinks"
1040,a white and black dog is in the bush alone,it has a brown mouth and wearing a black dog collar,what is this dog doing in the bush alone?,it is sitting near a tree resting,they are trees shedding leaves
1041,a man and a woman are standing near a tap near trees and green grass and have two dogs,one dog is black and brown then the other is grey,what are these two with their dogs doing?,they have brought the dogs to drink water because they are thirsty,the lady is holding the brown dogs neck as it drinks water while the man is opening the tap
1042,ab mean and two women are in a nice place standing in front of a table with people behind them,"the place is beautified especially the tables, they are full of flowers and nice trees",what is this man and women doing?,"they are discussing the celebration they are about to have, it seems they are a couple because they are both wearing rings",they are two people behind preparing food because there's a lot of food on the table
1043,a young boy is in the sports field in the afternoon,"he is wearing a green shirt, shorts and blue socks",what is this little boy doing?,he is playing tennis and right now hitting the green tennis ball,this place is good of green trees
1044,a little boy is at the beach in the evening,what is this little boy doing at this place alone at this time?,"he is walking, it seems he is running towards the waves of the sea",he is wearing a sleeveless grey shirt and brown shorts,this place is full of rocks without any trees
1045,"a man is standing in a place full of trees and buildings, they are five ladies on his left sitting on an erect wall","of the five ladies, the are wearing blue trousers",the man with for ladies have phones in their hands and are paying attention to their phones,what are these people doing?,it seems the man standing is teaching the ladies how to use the phone
1046,a young man is in the field full of well trimmed grass during the afternoon,what is this man doing?,"he is wearing a hat, a blue shirt and black shorts",what is this man doing?,he is walking in the field and running as though he is competing or running after something
1047,a woman in a brown trousers with a blue shirt is with two kids in a beautiful place,of the two kids the older one is a boy and a boy then the other one is a girl that is on her back,what is this woman in brown doing?,"they are here to visit this place, then the little boy is on an elect wall and facing where he is pointing",behind them are green flowers and lots of white doves 
1048,young men and women are inside a building standing in a room,all of them except a man in white have guitars in their hands,what are these people doing?,they are playing the guitar and singing,this room has a huge window and there's a picture on the wall
1049,a black man with long hair is sited outside on a yellow bucket,"he is wearing a blue hat, a green shirt and a brown trousers",what is this man doing?,he is cleaning fruits using a knife and they are two plastic baskets full of fruits,there's lots of sand and green trees
1050,a white man wearing a blue hat is standing in a room,he is wearing a black and red jersey,what is this man doing?,"he is faced down, it seems he is looking on something like a phone",he is paying attention to what he is doing and on the wall in this room is a picture of a man and woman
1051,two ladies and a man are are inside a room in the afternoon,the man is wearing a red shirt with a brown shirt while one of the ladies is wearing a blue shirt and a brown trousers,what is happening in this room where these people are?,the lady in blue with brown short hair is giving the other one food that looks like bread,there's also a table in this room full of bread it seems they are from baking bread
1052,"two men are standing outside during the afternoon, one is an elderly man and is standing behind a young man",the enemy mean is dressed in green and has put both his hands in his pockets while he is standing,what is he doing?,"they are next to a machine used to cut meat, there's uncooked meat, chicken and bread",it seems they are celebrating and they are facing their front
1053,a lady in a black shirt is on a bicycle on a tarred road in the afternoon,he is wearing an helmet and carrying a green back pack,"this place is full of storey building, head and a blue vehicle behind",what is she doing on the middle of the road?,she's riding a bicycle and right now about to pass the robots
1054,"a young man is sited on the road side, he is wearing a black and white shirt with a blue trousers",this place is full of tall trees and different people in front that are passing behind him and a man in an elevator,the elevator is made of glass but the man is sitting down holding his bike bag in his left hand,what is this man doing?,he is looking on the other side of the road it seems he is waiting for someone and he looks worried
1055,"different people are in the same place during the afternoon, they are men, woman both young and old",some are standing while some are sitting where others are walking,close to then are bags it seems this is a train station because the train is in front of them,what are the people doing at the train station?,some are waiting to get on a train while others are dropping off from the train
1056,"a man is with a little boy, he is wearing a black shirt and blue trousers","they are sitting on a chair meant for relaxation, the men is wearing a red shirt and blue trousers",they are at the hospital,what are they doing here at this time,the men behind is pushing the wheelchair it seems he is an injured man
1057,a dog is in the bush full of green grass in the afternoon,the dog has lots of fur but it has mud on its tummy,it has a red dog collar and a rope paying through its legs,what is it doing?,the dog is walking it seems it's going to play in mud
1058,a man dressed in is green are in a bush full of rocks,what is he doing?,he is walking this carrying something and it seems he is going to the river,where is this place?,this place full of rocks and green trees and he is passing in a narrow road
1059,a little fort with eyes open is sitting on a chair of two kids wearing brown and blue clothes,she has two puffs in her hair,what is this little girl doing?,she's sited quietly and has yogurt,she's enjoying herself and had yogurt all over her mouth and nose
1060,a man in a white shirt and a brown trousers is in a vehicle used for constructing a green road,what is this man doing?,he is constructing the road using the tractor and he looks ready to drive,what sort of place is this?,it's a beautiful place full of storey buildings and bicycles underneath the trees
1061,a man dressed in brown is standing in a room alone,it seems like a work shop,what is this man doing?,he is working and it seems they are about to knock off,"this is a workshop for lots of people because it's full of tables, papers and computers"
1062,"a fat man in a white shirt, black jersey and a blue trousers is sited on a chair at night",what is this man doing?,"he is dozing off, it seems he did lots of work and he tired so he is resting","yes that true, it seems so",he is inside a workshop that's full of books on shelves
1063,a little girl is standing in something yellow,what is she doing?,it's raining where she's standing and she's standing on a lawn with a tarred road on one side,why is she standing in the rain?,she's playing in the rain and she's happy to be in the rain
1064,a little bit is in the air in a place full of storey buildings,what is he doing in the air?,he is jumping from a tree laying on the ground,do you think he is ready?.,yes yes he is ready to jump and isn't afraid at all
1065,"a lady in brown is pushing a man dressed in blue on a wheelchair, it seems that's her husband",what are they doing at this place?,they are taking a stroll,where is this place?,it's a beautiful place full of buildings and talk trees behind them full of different people
1066,"two patched dogs, a brown and white one with fur and a black and grey one",the black and grey one is laying down with facing the brown and white dog,what are these dogs doing?,they are playing during this time of the afternoon,they are close to the ground where there's grass
1067,a man dressed in blue and red is outside during the afternoon,what is he doing?,he is pulling a basket full of metal and had wheels and he is paying attention to what he is doing,where is this little boy?,he is in a shorts field full of people both young and old
1068,"a man is with a child outside since buildings, they are sited against one of the buildings","he has put the child on the table while holding the child, there's also a coffee cup on the table",what are they doing?,"he is drinking coffee, it's as though they are here to have a good time",the place looks brown and they are people passing
1069,,,,,
1070,two men are on a slide in the air on the hills,it slides in the air with a long rope tied to a tree with metal,what are they doing?,they are sited in the side as though they are coming from the other side of the hills and are headed to the other side,this place is full of tall green trees and the trees are full of snow
1071,a black men is sited on the road side and wearing a robe full of flowers,what is he doing on the road at this time?,"he is facing his front and holding a cup of coffee, it seems he is looking at something",what is he looking at?,he looks ready and they are people passing and a vehicle at a distance
1072,different men and women are in a place in the afternoon,"some ladies are standing, that's a lady with black hair and another white both are wearing hats",what are these ladies doing at this time?,they are talking it seems they are exchanging something,"they are sited on chairs, they are here too watch a game"
1073,a man is in a room full of metal rods,where is this man?,he is in a room that looks like an industry,what is this man doing?,he is working in the industry and there's a pipe close to him
1074,a little boy is on the road side wearing a black shirt and brown trousers,what is he doing?,"each one is holding something in his hands, it seems there's something he's eating",behind him are two men near a red vehicle and other vehicles lined up,the men are on the red vehicle it seems they are trying to fix it
1075,a black lady is on a swing,what is she doing?,she's on a swing and holding it with both her hands ,is she all alone and where is she?,this place is full of rocks on the ground and it looks like a play park for children
1076,a lady in a blue shirt and brown shorts is squatting on the ground,what is she doing?,she's holding her right hand it seems there's something she's looking at where she is,what is this place?,"there's nothing in this place, the ground is torn apart because of the sun "
1077,a man in a blue shirt and brown shorts is inside a room in the night,what's in this room?,they are different tools used in music and a lamp that's on,what's this man doing inside the room?,"he is sited, it seems he is singing and playing sound instruments"
1078,a elderly lady wearing a green shirt with a chitenge material is outside,where is she?,"she's in a place where they are two braziers, pots, plates and dishes of water,it seems she's in the kitchen",what's she doing in the kitchen?,she's holding a blue pan and removing it from fire
1079,"two dogs, a black dog and a brown one in dry grass",what are these dogs doing in the bush,"they are playing, it seems they are looking for something and they both have black dog collars around their necks",where are these dogs?,they are in a place full of green trees and dry grass
1080,two ladies one is a grey shirt and another in a green one are standing,where are these ladies?,"they are in room full of mats, it seems it's a sewing room",what are these women doing in the room?,they are swing clothes on the table and are paying attention to what they are doing
1081,"a little bit is inside a room holding the toy cars, a blue, yellow and green one",what is he doing?,he is playing with the toy cars and he is driving them on a table with a road on it,where is this child?,he is in the kitchen full of chairs and food
1082,a lady is sited on a chair next to a table with a bottle on it in a place full of people,what is she doing?,she's sewing using both hands and she's looking at people in front of her,what are others in this place doing?,"they are doing different things, since are walking, some are sited on erect walls at a distance from her"
1083,"two women, one in a brown shirt and a black trousers then the other in a red shirt and a blue trousers are in the air",what are these two doing?,they are doing flips up to and their hair is in the air as they do this,what is this place?,it's a beautiful place full of green trees
1084,a black and white dog is in the bush in the afternoon,this place is full of big sacks of dry grass,what is this dog doing?,"it is jumping over the sacks, it seems it's running to somewhere","this place is full of trees, grass and flowers"
1085,two shirtless men wearing shorts are in a boxing ring,"they are different people, both men and women, surrounding the ring",what are these two men doing?,they are playing boxing and they are both ready to start fighting,the people around the ring are watching as the men fight
1086,a shirtless man in black shorts is standing near a wall,what sort of place is this?,it's near a tarred road with two vehicles on the road,what is this man doing at this time?,he is playing tennis and holding a tennis bat
1087,a man in a blue trousers and shirt and another in a black suit are sited on chairs inside a room at night,they are other people inside this room behind these two men,what are these two men doing?,they are discussing something to do with work because they are papers and a computer on the table,this looks like a workplace because they are other people in their right working
